name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_A,165.833737799734,0.2424068405547679,26,0.1005678593749999,0.9033455507115756,9,D,13.12405717676442,203.20153139611205,1.999999996515646,0.0242407159552362,20.01255037507227,81.33232214515564,0.1613633649035818,0.1000001315959539,0.2884545406187221,0.0912995796886036,0.1091892783519012,13.65316473367884,0.8905986029225624,0.3052236658507841,8,5,m_near_bound; s0_near_bound; large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True
LVM-30Dor-6563_B1,166.0377502241278,0.2424068405547679,26,0.0760437499999999,0.7878933311564147,6,C,8.02314190846884,31.466485827989565,1.745676195445249,0.0242406995504183,2.465100669825828,81.33247073177647,0.0986462336171746,0.1000000639212223,0.1273463031303122,0.1224423787173702,0.0930568673709008,13.665571340126917,2.2975796726308606,0.2768398609904721,4,4,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_B2,165.07852532806567,0.2424068405547679,26,0.05,0.6783536043374557,9,D,13.149165079026956,20.681245762468116,1.42660540406305,0.3636102310179756,0.5046859250292184,81.33249258479559,0.1616717336594339,1.499999877007694,0.0770341820493396,0.0885424082176216,0.0884465865049191,0.9072923911972404,3.2552148999016826,0.2359451466111526,4,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B3,166.24014918474907,0.2424068405547679,26,0.05,0.748781203950568,8,D,14.645698265194458,57.7080055882812,1.5535819523259191,0.3636102603263677,2.2781452685660364,81.33246305592324,0.1800719874316882,1.49999999791349,0.1307236923313033,0.0749176987504859,0.0752958497054835,0.9089361197607796,1.3699068074038896,0.2045025498809567,5,5,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B4,166.47081862715038,0.2424068405547679,26,0.05,0.5319883334937885,12,D,78.48407775065847,162.18199167644642,1.0959099064143265,0.3636102608249864,2.7914011883587424e-10,81.33251253658686,0.9649779073940812,1.49999999997044,2.9177664514935e-11,0.8535576874100688,0.748490424643883,0.8967750211875382,7679590151.048637,0.1456651683148406,8,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_B5,166.4001354495142,0.2424068405547679,26,0.1005678593749999,0.7652018195964969,14,D,20.024135334960416,29.30610798988973,0.6587629268973197,0.3636102596894852,3.88194743890525e-07,81.33306457629374,0.2461991988040357,1.4999999952861611,2.5622961011569803e-08,7.082233537228855,1.4022725390142614,0.9049714163931696,22631152.824864164,0.3552555424130191,8,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_B6,165.74427199588658,0.2424068405547679,26,0.0661249999999999,0.932811075049572,11,D,7.89208062658522,19.994219682959436,1.3423615996786056,0.3636102606236467,1.5530965390939135,81.33249834353735,0.0970347743807174,1.4999999991398545,0.1025388149769351,0.2262444190480893,0.1900090470811188,0.9074419052866088,3.562919928587466,0.5522760230912716,5,7,sig2_near_bound; s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_B7,165.80800912237927,0.2424068405547679,26,0.05,0.5488054705335829,9,D,10.315784587167748,57.46717818813072,1.396139673550038,0.363610260632545,2.7253090182721583e-10,81.332514817276,0.1268346934844384,1.4999999991765622,1.1603689669164808e-11,0.1005226327059524,0.0932078098807708,0.9044503745830618,21535752307.769836,0.248681793453132,6,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C1,164.55092559635358,0.2424068405547679,26,0.0661249999999999,0.7779678487750085,16,D,164.5501757288331,159.1100698385237,1.1383017608345396,0.3636102427691112,0.1165992716685188,81.33244736924493,2.0231799368065757,1.499999925484608,0.0282689325115548,0.5029536998436006,0.4899000701556061,0.9037176202201872,8.50460669833877,0.1268935894662866,10,10,r0_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; r0_much_larger_than_fit_range; large_s0_arcsec; systematic_residuals,True,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,True
LVM-30Dor-6563_C10,164.84956506481294,0.2424068405547679,26,0.1156530382812499,0.8937757589924177,12,D,45.260113161124345,51.606395156701936,0.8060365502313874,0.3636095982154739,2.5197414032893995e-10,81.33246264172911,0.5564827584343034,1.499997266509986,2.6519037778027572e-11,2.5754312098237366,1.2942060722089022,0.8974897927459974,14933599472.059725,0.1765121714954938,10,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C11,165.6336756998395,0.2424068405547679,26,0.05,0.9722980547586828,11,D,8.65441769458505,24.687283810370964,1.9999999998921096,0.3636102607415097,6.615232712276676,81.33249547289438,0.1064078711007865,1.4999999996260742,0.4079140195730167,0.086577990619762,0.0970026311295101,0.9102104442063644,0.7373087030574343,0.3749765273419754,6,6,m_near_bound; s0_near_bound; large_s0_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True
LVM-30Dor-6563_C12,165.49705528140962,0.2424068405547679,26,0.0378071833648393,0.6320887837201017,5,C,14.445605527556689,18.35116234102035,1.5213922782713107,0.0242406926787621,1.626943165915717,81.3325906526373,0.1776115258550205,0.1000000355736058,0.258155927563167,0.0555900251211171,0.072217772455156,13.64453575852462,0.7400810332230221,0.1581899246127751,7,3,s0_near_bound; large_s0_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
LVM-30Dor-6563_C13,164.95041220666806,0.2424068405547679,26,0.0574999999999999,0.9738825441968504,9,D,19.523309450752,38.98791340926135,1.2462620995818077,0.363610260642662,1.7710337886301703e-05,81.33249933996564,0.240043151374773,1.4999999992182975,1.8731310133285093e-06,0.1722831840503574,0.1309322354381742,0.9051455143993185,148239.93616148422,0.2236774662068705,9,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C2,165.3461762435486,0.2424068405547679,26,0.0434782608695652,0.5244913021380577,6,C,15.247951743963332,8.481734281231208,1.383403807263471,0.024241499251182,0.565446182974099,81.33257774388838,0.1874765581877689,0.1000033629236838,0.1825790963551415,0.0805689261903283,0.0866965960985388,13.663669411020985,1.1694938040836016,0.1741381147329439,8,4,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_C3,166.0355018267512,0.2424068405547679,26,0.05,0.809339155455657,12,D,32.62967738105784,31.43693522781914,0.8755157129613045,0.3636102600903975,1.9389122663071024e-10,81.33274167652503,0.4011874763896678,1.4999999969400433,2.8129497506456728e-11,2.840179381730284,1.2122065091537348,0.8591467129150844,5950651473.343411,0.1261969982002502,7,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C4,166.29395901339103,0.2424068405547679,26,0.05,0.7103363016493555,9,D,20.96010171801463,60.11251789257654,1.2196410275708351,0.3636102580847542,3.3063847885247664e-08,81.33243255978171,0.2577090228133573,1.4999999886661708,2.4521409391897566e-09,0.1565567665210862,0.1069368970222383,0.8928133653925918,63159609.796989985,0.1377049453833472,6,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C5,166.61447427138637,0.2424068405547679,26,0.0661249999999999,0.7587474427248977,12,D,26.39556676324742,43.28570046283055,0.8490802556808845,0.3636102606503732,3.384921530299066e-10,81.33256457280694,0.3245387244566565,1.499999999250109,3.0359951416899426e-11,4.375671601365773,1.4991635676294812,0.886025753816207,9617318953.257889,0.1839891396155111,5,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C6,166.65960240118804,0.2424068405547679,26,0.1330009940234374,0.9333755455309026,14,D,10.51883047762658,54.95508749601645,0.6983631973784513,0.3636102608038228,6.12689822208321e-05,81.33253654760422,0.1293311499201783,1.499999999883134,2.555292851203219e-06,14.199791078058992,1.756233228233067,0.9044732800782552,430581.8948433625,0.4735156194167375,6,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_C7,167.1818283991096,0.2424068405547679,26,0.2022778867853953,0.9604549198580664,11,D,14.660283054303855,85.23756160057917,1.9999999999767313,0.3636102266081633,1.1783404772123463e-05,81.33243284068615,0.1802513774919336,1.4999998588159122,5.32131403210646e-07,0.2573495669209172,0.1590031429120913,0.9070132171178004,492724.91790126933,0.2805908759506039,7,7,m_near_bound; s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C8,165.9055551567825,0.2424068405547679,26,0.1005678593749999,0.931987456810496,8,D,16.953358110805432,34.91762369953476,1.732500203684324,0.3636102533159397,0.6220596545534095,81.33287904063413,0.208444091870097,1.4999999689933987,0.083259375956834,0.1531260048141298,0.1119514154140643,0.908741796174264,2.9461982362374752,0.2460340640335174,8,5,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_C9,166.69731252094576,0.2424068405547679,26,0.0874503124999999,0.8556246692734455,11,D,10.697843097946423,21.42561870843171,1.0727683750769066,0.363610260793473,4.397933892796382e-07,81.33265891672512,0.1315319484255363,1.499999999840438,4.6449913841708225e-08,0.3755338800705826,0.1719388426083096,0.9028086754326496,8802216.000789048,0.3758959874963674,7,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_D1,164.27876285884932,0.2424068405547679,26,0.05,0.9337883848904098,12,D,46.326845525327855,39.11749416097617,1.1469618780663446,0.3636102603861856,1.0801293740422124e-10,81.33237353943225,0.5695990847096978,1.499999998160257,2.464778447326853e-11,0.9164382047532156,0.7374791990229953,0.8986613616630283,7480111392.895094,0.1512536544897949,5,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D10,166.49879133232056,0.2424068405547679,21,0.0574999999999999,0.8629731234270726,11,D,7.749432228397938,54.86454367721251,1.9999999999943696,0.0242406840683791,2.180383298362986,81.4009701140866,0.0952007355383702,0.1000000000532259,0.0330322648059471,0.1061268155962246,0.0993771809878036,13.675629424752348,5.941172910802444,0.32759521305104,6,7,m_near_bound; s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; systematic_residuals,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True
LVM-30Dor-6563_D11,165.86256915527264,0.2424068405547679,26,0.1005678593749999,0.9966184096606816,16,D,165.8455039904355,480.7028437341491,1.0656051750794595,0.363609457338664,4.950552507934069,81.33255789024301,2.0391035065470504,1.4999966853514275,0.3059646929849464,0.6378732353092779,0.5982424703685233,0.9083635799130888,1.4174728857796304,0.2220464016055401,10,10,r0_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; r0_much_larger_than_fit_range; large_s0_arcsec; systematic_residuals,True,False,False,True,False,True,True,True,True,False,False,False,True,True,True,False,True
LVM-30Dor-6563_D12,167.07424349939018,0.2424068405547679,26,0.1005678593749999,0.9050993510684474,12,D,25.45483338116486,155.01478402789263,1.3456647984081922,0.363610247190001,1.081212366184666e-07,81.3319844921316,0.3129744532869165,1.499999943722088,4.467639846634696e-09,1.253624394798865,0.9354365789332814,0.8989866564984932,44087619.205669396,0.2221835535884562,10,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D13,167.2469008061693,0.2424068405547679,21,0.05,0.997688589815901,11,D,11.896529725232927,24.385196472155815,1.2141541730166956,0.3636102607973709,2.395090673771867e-07,81.33278073941926,0.1462698018815811,1.499999999856518,1.3097463081802948e-08,0.1713207223887526,0.1299579232905277,0.903860516093132,17236094.40765998,0.3001464090174912,8,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_D14,166.87695146980005,0.2424068405547679,21,0.0760437499999999,0.7706992160241922,13,D,91.65999335419504,209.1584466381252,0.9390860333627492,0.3636029690204301,6.536382860512998e-10,81.40069388246654,1.1260345456826424,1.4999699191173603,2.1277609039961544e-11,0.7943534445402444,0.6593831167046506,0.9044032553769435,12032204273.151196,0.185476155273885,9,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True
LVM-30Dor-6563_D15,166.23308151934813,0.2424068405547679,26,0.0874503124999999,0.8393253119129108,11,D,6.909698592604034,45.28397346024509,1.3504568159931014,0.3636102447997891,2.2043607204359795e-06,81.33258679417379,0.084956090356381,1.4999999338617558,8.169438805969555e-08,0.2899653408510924,0.2177763040462055,0.9049848514748384,6686672.2930639,0.6092475378380504,8,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_D16,164.70356061034707,0.2424068405547679,25,0.0661249999999999,0.9909748923090478,9,D,14.928568641800108,20.76313730696662,1.0837619621793229,0.3636102607431668,1.817710905672818e-10,81.33281385821792,0.183549147430508,1.49999999963291,2.0495242721443627e-11,0.3410937713464432,0.1539742552436784,0.902671888699583,14310851106.452969,0.2873835639697191,5,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D17,164.26997627942373,0.2424068405547679,24,0.0661249999999999,0.9147657398935356,9,D,14.854729252067338,25.13729443019403,1.1092583471188897,0.363610260821458,2.544312604902605e-10,81.33181441155183,0.1826435246716624,1.4999999999558844,2.4431330248812886e-11,0.4562968186153368,0.2138494824815391,0.8985638005210116,8943277460.202345,0.2506961390867881,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D18,163.77387078053218,0.2424068405547679,24,0.0661249999999999,0.8805983973194004,11,D,6.569440702205038,62.27427626314194,1.4106468033995163,0.3636102608317128,2.0222590348254223e-05,81.3327820583656,0.0807723593850596,1.4999999999981886,4.246241462657038e-07,0.3076098770713311,0.2447441586943989,0.9054910768376336,1212488.5529230095,0.5649605514863034,9,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_D19,163.2813980551292,0.2424068405547679,26,0.05,0.5088647776248535,9,D,13.547824996842744,32.81192936061639,1.3551741081778093,0.3636102597119097,0.373267538792147,81.33258504618799,0.1665731513285734,1.499999995378669,0.0333599700606215,0.1033394409272872,0.1032938504593174,0.9059034988313124,7.515454540888037,0.2534636000979477,4,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D2,163.95939855771175,0.2424068405547679,26,0.0574999999999999,0.8173712818616286,12,D,16.379767166864042,10.580448502568906,0.9546150650482236,0.0242407191188542,0.3992197600863566,81.33234684173037,0.2013930226154477,0.1000001446468151,0.081854342150733,1.8961512260925515,0.765615974322085,13.698599328724384,5.746638993674594,0.4098968910722997,6,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,True
LVM-30Dor-6563_D3,164.1293317649928,0.2424068405547679,26,0.0574999999999999,0.8762334332271674,15,D,161.57108717206788,37.98832346159105,0.9035400174175596,0.3635939165131053,2.63013534830093,81.33233658253035,1.9865541057967375,1.499932574843972,0.5492081433341368,0.6146185638415226,0.5084171016368266,0.9094639198541098,0.509381662427729,0.2107025609250408,8,9,r0_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; large_noise_fraction; systematic_residuals,True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,True,True
LVM-30Dor-6563_D4,163.9488215780714,0.2424068405547679,26,0.0378071833648393,0.653719128718504,5,C,15.677748049207466,15.408134574569749,0.8593043814135136,0.1179953701793219,6.98696332463896e-07,81.33296545744781,0.1927600691924829,0.4867658433618453,9.153613743263736e-08,0.3629242991950909,0.1791209324536908,2.0269750626656924,3943308.3451799904,0.2456601228510267,4,4,noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_D5,165.07130814012083,0.2424068405547679,26,0.05,0.8926362888861952,9,D,36.155799418824515,61.427243396983954,1.2676937756897242,0.3636102607965714,4.255352264687828e-09,81.33264746612606,0.4445422661777106,1.49999999985322,7.014722976311848e-10,0.3832189555832661,0.3187000238728128,0.8951382020111823,241788357.64607567,0.1360265626669226,6,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D6,165.35076403514185,0.2424068405547679,26,0.2022778867853953,0.7851186016182875,14,D,30.82457943824424,50.42286154823947,1.3373819117799657,0.3636102353173914,1.0684617884169757e-08,81.33186695158993,0.3789975638526967,1.4999998947440574,1.1949635046738187e-09,4.096752463382054,3.5268294388647257,0.9075559199167436,273025003.6247968,0.3296004570154991,9,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_D7,167.12057101019585,0.2424068405547679,26,0.1156530382812499,0.7609215449121963,9,D,14.429146209201049,56.052210710311655,1.4730072301214427,0.3636102412934007,1.127104510991008e-08,81.33197143962515,0.1774105060260611,1.4999999193968652,7.33266454650379e-10,0.2211360335221099,0.1341430103845969,0.8984366742521173,230896923.2826056,0.2873816966561193,10,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_D8,166.3849144562675,0.2424068405547679,26,0.0661249999999999,0.8022098332853583,7,D,17.277872897213808,99.96482903362494,1.464873631109188,0.0242406956853857,0.2602976259629275,81.33152021497668,0.212437599242516,0.1000000479768185,0.0129972996087551,0.1112155899961239,0.0857492138775272,13.672952330024966,27.51233005729083,0.2292444206515007,5,5,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
LVM-30Dor-6563_D9,166.3216645113808,0.2424068405547679,21,0.05,0.8830049557669983,12,D,42.02350679532793,366.0824473393282,1.1779840233962968,0.3636102182159708,2.0532210164284058e-07,81.40060420079836,0.5162554652747379,1.4999998241956332,2.595989383367847e-09,0.984050000115229,0.7311067446476597,0.9061684207680472,89044389.84370564,0.2395407224007804,7,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_E1,164.62470101695857,0.2424068405547679,26,0.0661249999999999,0.901009870769842,12,D,25.52504792333344,21.7728160826996,0.9716698712965242,0.3636102605368524,1.5837849288043826e-10,81.33215909206983,0.3138370874236661,1.4999999987818022,2.7673287391313987e-11,2.772855741467823,1.244252822560261,0.8969919248322394,9783098894.307348,0.2106588884428728,10,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_E10,166.31932181281306,0.2424068405547679,22,0.05,0.864598509503985,14,D,23.92999561017466,83.69610240271086,0.5472266049008276,0.3636102608212244,1.5301378442093107e-09,81.33179455700909,0.2942268240915434,1.4999999999549207,3.1559214058506754e-11,5.612930667962066,0.8800290754644272,0.9019505329849749,15647428003.41675,0.2290811773871442,7,9,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_E14,167.46881833123942,0.2424068405547679,26,0.0434782608695652,0.5031263341935887,14,D,153.6594672873781,522.3596147031503,1.2897330017277158,0.3636102601988915,2.8279692967031765e-06,81.33246483276471,1.8892759195646136,1.499999997387613,3.593730158322241e-07,0.4919973726431645,0.5242155787835456,0.8949306115325997,396276.59005352814,0.0943378205053924,9,10,r0_near_bound; sig2_near_bound; s0_near_bound; noise_near_bound; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; r0_larger_than_fit_range; large_s0_arcsec; systematic_residuals,True,True,False,True,True,False,True,True,True,False,False,False,True,False,True,False,True
LVM-30Dor-6563_E15,166.91247052920886,0.2424068405547679,23,0.0574999999999999,0.9754741344893728,7,D,11.990018214057452,154.0428433197125,1.9818824028600737,0.0242406860807098,10.062208131747765,81.33243351665917,0.1474198876835716,0.1000000083546861,0.1430978972971205,0.0604963059969073,0.0800266608533719,13.65582503626942,0.952602656462442,0.2601943824916903,6,4,m_near_bound; s0_near_bound; large_s0_uncertainty; systematic_residuals,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True
LVM-30Dor-6563_E16,167.0511702196655,0.2424068405547679,26,0.0760437499999999,0.7954207664285022,14,D,16.232168604981375,295.074740923942,0.8425018542995121,0.3636102606574134,1.5719417317053045e-08,81.33250023603323,0.1995778877800923,1.4999999992791515,1.4880785269388832e-10,7.97286466345833,1.8080835031393312,0.9040525312378244,3622946543.9495616,0.3433861597167821,9,9,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_E17,167.4243399183384,0.2424068405547679,21,0.1156530382812499,0.964889257931392,8,D,13.81821217339862,458.6913597346461,1.892228845669792,0.0242406841226155,36.046848496979294,81.400961779192,0.1697549005733108,0.1000000002769671,0.128155136179599,0.166034660399483,0.1288652288126048,13.658705173111594,2.0448278587177575,0.4022275481801407,7,5,s0_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True
LVM-30Dor-6563_E18,165.798855139679,0.2424068405547679,21,0.0574999999999999,0.9663149536002004,12,D,67.7132546255702,224.58659310551153,1.008359340749139,0.3636101177629344,4.3456588521023225e-08,81.4010142859713,0.8318477996807951,1.4999994097971112,1.094322677623907e-09,1.3636939598837454,0.9691042054963598,0.9051496295417631,227720314.66148964,0.2297557338252127,7,8,s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True
LVM-30Dor-6563_E19,166.82906432962426,0.2424068405547679,21,0.0760437499999999,0.9396398222228944,10,D,11.626868578104771,36.037753961145214,1.999999998680685,0.0242407382867085,6.028388246892472,81.4007857043797,0.1428348446209063,0.1000002237198901,0.1892078221336274,0.1241550696378333,0.1320493474760439,13.661233519855118,0.9564405750472464,0.4491375979629564,7,6,sig2_near_bound; m_near_bound; s0_near_bound; large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True
